operation,predecessor_operations,processing_time,machine,workcenter,due_date,end_product
J.1,[],1,M1,WC#3,,
J.2,[],1,M1,WC#2,,
J.3,['J.1'],1,M1,WC#3,,
J.4,"['J.2', 'J.3']",10,M1,WC#3,,
J.5,['J.4'],16,M1,WC#2,,
J.6,['J.5'],12,M1,WC#2,,
J.7,['J.6'],27,M1,WC#1,,
J.8,['J.7'],1,M1,WC#3,,
J.9,['J.8'],1,M1,WC#1,,
J.10,['J.9'],5,M1,WC#2,,
J.11,['J.10'],4,M1,WC#1,,
J.12,['J.11'],31,M1,WC#1,,
J.13,[],2,M1,WC#2,,
J.14,"['J.12', 'J.13']",9,M1,WC#3,,
J.15,['J.14'],3,M1,WC#2,,
J.16,['J.15'],1,M1,WC#2,,
J.17,['J.16'],2,M1,WC#3,,
J.18,['J.17'],4,M1,WC#3,,
J.19,['J.18'],19,M1,WC#1,,
J.20,['J.19'],4,M1,WC#1,,
J.21,[],5,M1,WC#1,,
J.22,"['J.20', 'J.21']",1,M1,WC#2,,
J.23,['J.22'],1,M1,WC#3,,
J.24,['J.23'],1,M1,WC#3,,
J.25,['J.24'],41,M1,WC#3,,
J.26,['J.25'],1,M1,WC#2,,
J.27,['J.26'],4,M1,WC#1,,
J.28,['J.27'],5,M1,WC#2,,
J.29,['J.28'],9,M1,WC#3,,
J.30,['J.29'],2,M1,WC#1,47,1.0
