Operation,Start,End,WorkCenter,PercentCompletion,Machine,MachineIdx
B,0,2,WC#1,100,M2,1
U,0,8,WC#1,100,M2,2
C,3,4,WC#1,100,M3,1
J,0,18,WC#1,100,M4,1
Q,18,26,WC#1,100,M4,1
R,26,33,WC#1,100,M5,1
G,7,12,WC#2,100,M1,1
A,0,3,WC#2,100,M1,2
S,33,38,WC#2,100,M1,2
M,18,23,WC#2,100,M2,1
D,23,26,WC#2,100,M2,1
P,0,1,WC#2,100,M3,1
N,23,33,WC#2,100,M3,2
I,30,34,WC#2,100,M3,1
E,26,27,WC#2,100,M4,1
K,0,12,WC#2,100,M5,1
F,27,30,WC#2,100,M5,2
L,0,3,WC#3,100,M1,1
H,0,7,WC#3,100,M2,1
O,33,37,WC#3,100,M2,2
T,38,39,WC#3,100,M4,1
,,,WC#1,0,M1,1
,,,WC#1,0,M1,2
,,,WC#1,0,M1,3
,,,WC#3,0,M1,2
,,,WC#3,0,M1,3
,,,WC#3,0,M3,1
,,,WC#3,0,M5,1
,,,WC#3,0,M5,2
,,,WC#3,0,M5,3
